song,artist,labels
One Night In Bangkok,Murray Head,RCA
Cool It Now,New Edition,MCA Records
Sentimental Street,Night Ranger,MCA Records
We Belong,Pat Benatar,Chrysalis
No More Lonely Nights,Paul McCartney,Parlophone
Everytime You Go Away,Paul Young,Columbia
One More Night,Phil Collins,WEA
Sussudio,Phil Collins,Atlantic
Don't Lose My Number,Phil Collins,Atlantic
Separate Lives,Phil Collins and Marilyn Martin,?
Easy Lover,Philip Bailey and Phil Collins,?
Neutron Dance,Pointer Sisters,Planet Records
Some Like It Hot,Power Station,Jugoton
Raspberry Beret,Prince and The Revolution,Paisley Park
Oh Sheila,Ready For The World,MCA Records
Can't Fight This Feeling,REO Speedwagon,Epic
Smooth Operator,Sade,Epic
Sugar Walls,Sheena Easton,EMI
Strut,Sheena Easton,EMI America
Don't You (Forget About Me),Simple Minds,Virgin
We Built This City,Starship,Grunt
Part-Time Lover,Stevie Wonder,Motown
Fortress Around Your Heart,Sting,A&M Records
If You Love Somebody Set Them Free,Sting,A&M Records
The Search Is Over,Survivor,Scotti Bros. Records
I Can't Hold Back,Survivor,Scotti Bros. Records
Shout,Tears For Fears,Mercury
Everybody Wants To Rule The World,Tears For Fears,Sericrom Lda.
Head Over Heels,Tears For Fears,Mercury
Lover Girl,Teena Marie,?
Lay Your Hands On Me,Thompson Twins,Arista
Voices Carry,'Til Tuesday,Epic
Jungle Love,Time,Warner Bros. Records
Private Dancer,Tina Turner,Capitol Records
Better Be Good To Me,Tina Turner,Capitol Records
We Don't Need Another Hero,Tina Turner,Capitol Records
We Are The World,U.S.A. For Africa,?
Careless Whisper,Wham!,?
Freedom,Wham!,?
Wake Me Up Before You Go-Go,Wham!,?
Everything She Wants,Wham!,?
Saving All My Love For You,Whitney Houston,Arista
You Give Good Love,Whitney Houston,Arista
Sweet Love,Anita Baker,Elektra
Election Day,Arcadia,Parlophone
Secret Lovers,Atlantic Starr,A&M Records
Tarzan Boy,Baltimora,EMI
Venus,Bananarama,London Records
Manic Monday,Bangles,Columbia
Mad About You,Belinda Carlisle,I.R.S. Records
Take My Breath Away,Berlin,Columbia
There'll Be Sad Songs,Billy Ocean,Jive
When The Going Gets Tough,Billy Ocean,Jive
You Give Love A Bad Name,Bon Jovi,Mercury
Amanda,Boston,MCA Records
Word Up,Cameo,Atlanta Artists
Friends And Lovers,Carl Anderson and Gloria Loring,?
Tonight She Comes,Cars,Elektra
True Colors,Cyndi Lauper,Epic, CBS
Dreamtime,Daryl Hall,RCA
That's What Friends Are For,Dionne and Friends,Arista
Walk Of Life,Dire Straits,Grapefruit
Life In A Northern Town,Dream Academy,Blanco Y Negro
Take Me Home Tonight,Eddie Money,CBS
Party All The Time,Eddie Murphy,Columbia
Who's Johnny,El Debarge,Motown
Nikita,Elton John,The Rocket Record Company
Rock Me Amadeus,Falco,Continental
Tender Love,Force M.D.'s,?
Throwing It All Away,Genesis,Charisma
Invisible Touch,Genesis,Atlantic
A Different Corner,George Michael,Epic
Don't Forget Me (When I'm Gone),Glass Tiger,Manhattan Records
These Dreams,Heart,Capitol Records
Never,Heart,Capitol Records
No One Is To Blame,Howard Jones,WEA
Stuck With You,Huey Lewis and The News,Chrysalis
What You Need,INXS,Atlantic
Living In America,James Brown,Epic
When I Think Of You,Janet Jackson,A&M Records
Nasty,Janet Jackson,A&M Records
What Have You Done For Me Lately,Janet Jackson,A&M Records
We Don't Have To Take Our Clothes Off,Jermaine Stewart,Arista
Crush On You,Jets,MCA Records
Small Town,John Cougar Mellencamp,Riva
R.O.C.K. In The U.S.A.,John Cougar Mellencamp,Mercury
Danger Zone,Kenny Loggins,CBS
I Miss You,Klymaxx,Constellation
Something About You,Level 42,Polydor
"Say You, Say Me",Lionel Richie,Motown
Love Will Conquer All,Lionel Richie,Motown
Dancing On The Ceiling,Lionel Richie,Motown
All Cried Out,Lisa Lisa and Cult Jam With Full Force,?
Live To Tell,Madonna,Sire
True Blue,Madonna,Sire
Papa Don't Preach,Madonna,Sire
Words Get In The Way,Miami Sound Machine,Epic
Conga,Miami Sound Machine,Epic
Bad Boy,Miami Sound Machine,Epic
Sweet Freedom,Michael McDonald,MCA Records
Silent Running,Mike and The Mechanics,Virgin
All I Need Is A Miracle,Mike and The Mechanics,Atlantic
Your Wildest Dreams,Moody Blues,Polydor
Broken Wings,Mr. Mister,?
Kyrie,Mr. Mister,?
I Can't Wait,Nu Shooz,Atlantic
If You Leave,Orchestral Manoeuvres In The Dark,Collectables
Your Love,Outfield,CBS
On My Own,Patti Labelle and Michael McDonald,?
Spies Like Us,Paul McCartney,MPL
West End Girls,Pet Shop Boys,Parlophone
Glory Of Love,Peter Cetera,Warner Bros. Records
Sledgehammer,Peter Gabriel,Virgin
Take Me Home,Phil Collins,WEA
Kiss,Prince and The Revolution,Paisley Park
Baby Love,Regina,Atlantic
I Didn't Mean To Turn You On,Robert Palmer,Island Records
Addicted To Love,Robert Palmer,Island Records
Love Touch,Rod Stewart,Falcon Neue Medien
Walk This Way,Run-D.M.C.,?
The Sweetest Taboo,Sade,Epic
Perfect Way,Scritti Politti,Warner Bros. Records
A Love Bizarre,Sheila E.,?
Alive And Kicking,Simple Minds,Virgin
Holding Back The Years,Simply Red,Elektra
Let's Go All The Way,Sly Fox,Capitol Records
Two Of Hearts,Stacey Q,Atlantic
Object Of My Desire,Starpoint,Elektra
Sara,Starship,Grunt
Higher Love,Steve Winwood,Island Records
Talk To Me,Stevie Nicks,Parlophone
Go Home,Stevie Wonder,Motown
Burning Heart,Survivor,Scotti Bros. Records
King For A Day,Thompson Twins,Arista
Rumors,Timex Social Club,Mercury
Typical Male,Tina Turner,EMI
I'll Be Over You,Toto,CBS/Sony
Why Can't This Be Love,Van Halen,Warner Bros. Records
I'm Your Man,Wham!,?
Greatest Love Of All,Whitney Houston,Arista
How Will I Know,Whitney Houston,Arista
Sleeping Bag,ZZ Top,Warner Bros. Records
When Smokey Sings,ABC,Mercury
I Knew You Were Waiting (For Me),Aretha Franklin and George Michael,?
Always,Atlantic Starr,Warner Bros. Records
I Heard A Rumour,Bananarama,London Records
Walk Like An Egyptian,Bangles,Columbia
(You Gotta) Fight For Your Right (To Party),Beastie Boys,CBS
(I've Had) The Time Of My Life,Bill Medley and Jennifer Warnes,RCA
Mony Mony,Billy Idol,Chrysalis
To Be A Lover,Billy Idol,Chrysalis
At This Moment,Billy Vera and The Beaters,Flarenasch
Shakedown,Bob Seger,MCA Records
Wanted Dead Or Alive,Bon Jovi,The Record breakers
Livin' On A Prayer,Bon Jovi,Mercury
Right On Track,Breakfast Club,MCA Records
Mandolin Rain,Bruce Hornsby and The Range,RCA
The Way It Is,Bruce Hornsby and The Range,RCA
Brilliant Disguise,Bruce Springsteen,Columbia
Respect Yourself,Bruce Willis,Motown
Heat Of The Night,Bryan Adams,A&M Records
Will You Still Love Me?,Chicago,Warner Bros. Records
The Lady In Red,Chris De Burgh,A&M Records
Lean On Me,Club Nouveau,Warner Bros. Records
Don't Dream It's Over,Crowded House,Capitol Records
Something So Strong,Crowded House,Capitol Records
(I Just) Died In Your Arms,Cutting Crew,Virgin
I've Been In Love Before,Cutting Crew,Siren
Change Of Heart,Cyndi Lauper,Portrait
Can't We Try,Dan Hill,CBS
Only In My Dreams,Debbie Gibson,Atlantic
Notorious,Duran Duran,EMI
Carrie,Europe,Epic
Come Go With Me,Expose,?
Point Of No Return,Expose,?
Let Me Be The One,Expose,?
Big Love,Fleetwood Mac,Warner Bros. Records
Little Lies,Fleetwood Mac,Warner Bros. Records
In Too Deep,Genesis,Virgin
"Tonight, Tonight, Tonight",Genesis,Virgin
Land Of Confusion,Genesis,Live Line
I Want Your Sex,George Michael,Epic
Keep Your Hands To Yourself,Georgia Satellites,Elektra
Someday,Glass Tiger,Capitol Records
Nothing's Gonna Change My Love For You,Glenn Medeiros,Metronome
Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,?
Shake You Down,Gregory Abbott,Columbia
Alone,Heart,Capitol Records
Diamonds,Herb Alpert,A&M Records
Jacob's Ladder,Huey Lewis and The News,Chrysalis
Doing It All For My Baby,Huey Lewis and The News,Chrysalis
Hip To Be Square,Huey Lewis and The News,Chrysalis
Let's Wait Awhile,Janet Jackson,A&M Records
Control,Janet Jackson,A&M Records
You Got It All,Jets,MCA Records
Cross My Broken Heart,Jets,MCA Records
Looking For A New Love,Jody Watley,MCA Records
Songbird,Kenny G,Arista
Meet Me Half Way,Kenny Loggins,CBS
You Keep Me Hangin' On,Kim Wilde,MCA Records
Victory,Kool and The Gang,Mercury
Casanova,Levert,Atlantic
Somewhere Out There,Linda Ronstadt and James Ingram,?
Ballerina Girl,Lionel Richie,Motown
Head To Toe,Lisa Lisa and Cult Jam,Sony Music Special Products
Lost In Emotion,Lisa Lisa and Cult Jam,Columbia
La Bamba,Los Lobos,London Records
Midnight Blue,Lou Gramm,Atlantic
Who's That Girl,Madonna,Sire
Causing A Commotion,Madonna,Sire
Open Your Heart,Madonna,Sire
La Isla Bonita,Madonna,Warner Bros. Records
Bad,Michael Jackson,Epic/Sony
I Just Can't Stop Loving You,Michael Jackson and Siedah Garrett,?
Graceland,Paul Simon,Warner Bros. Records
The Next Time I Fall,Peter Cetera and Amy Grant,?
Big Time,Peter Gabriel,Geffen Records
Don't Get Me Wrong,Pretenders,WEA
Sign 'O' The Times,Prince,Prazo De Validade
U Got The Look,Prince,Paisley Park
Love You Down,Ready For The World,MCA Records
Don't Mean Nothing,Richard Marx,Manhattan Records
C'est La Vie,Robbie Nevil,Jugoton
Touch Me (I Want Your Body),Samantha Fox,Jive
Just To See Her,Smokey Robinson,Motown
Nothing's Gonna Stop Us Now,Starship,Grunt
The Finer Things,Steve Winwood,Island Records
Back in the High Life Again,Steve Winwood,Island Records
Is This Love,Survivor,Scotti Bros. Records
Luka,Suzanne Vega,A&M Records
Breakout,Swing Out Sister,Mercury
Don't Disturb This Groove,System,Atlantic
I Think We're Alone Now,Tiffany,MCA Records
Heart And Soul,T'pau,?
With Or Without You,U2,?
I Still Haven't Found What I'm Looking For,U2,?
Everybody Have Fun Tonight,Wang Chung,Geffen Records
Rock Steady,Whispers,Solar
Here I Go Again,Whitesnake,Liberty
Didn't We Almost Have It All,Whitney Houston,Arista
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Arista
Angel,Aerosmith,Geffen Records
Nite And Day,Al B. Sure!,?
Hazy Shade Of Winter,Bangles,Not On Label
Kokomo,Beach Boys,Elektra
I Get Weak,Belinda Carlisle,Virgin
Heaven Is A Place On Earth,Belinda Carlisle,MCA Records
"Get Outta My Dreams, Get Into My Car",Billy Ocean,Jive
Don't Be Cruel,Bobby Brown,MCA Records
"Don't Worry, Be Happy",Bobby McFerrin,EMI-Manhattan Records
Bad Medicine,Bon Jovi,Mercury
Hands To Heaven,Breathe,Siren
I Still Believe,Brenda K. Starr,?
The Valley Road,Bruce Hornsby and The Range,RCA
The Flame,Cheap Trick,Epic
Don't Be Cruel,Cheap Trick,Sony Music Special Products
I Found Someone,Cher,Geffen Records
I Don't Wanna Live Without Your Love,Chicago,Reprise Records
Everything Your Heart Desires,Daryl Hall and John Oates,Arista
Just Like Paradise,David Lee Roth,Warner Music UK Ltd.
Foolish Beat,Debbie Gibson,Atlantic
Shake Your Love,Debbie Gibson,Atlantic
Love Bites,Def Leppard,Mercury
Pour Some Sugar On Me,Def Leppard,Bludgeon Riffola
Candle In The Wind,Elton John,DJM Records
I Don't Wanna Go On With You Like That,Elton John,Collectables
"Wild, Wild West",Escape Club,WEA
Seasons Change,Expose,?
I Don't Want To Live Without You,Foreigner,Atlantic
Say You Will,Foreigner,Atlantic
Got My Mind Set On You,George Harrison,WEA Records Ltd.
One More Try,George Michael,Columbia
Kissing A Fool,George Michael,Epic
Father Figure,George Michael,Epic
Faith,George Michael,Epic
Monkey,George Michael,Columbia
Anything For You,Gloria Estefan and Miami Sound Machine,?
Can't Stay Away From You,Gloria Estefan and Miami Sound Machine,?
1/2/2003,Gloria Estefan and Miami Sound Machine,?
Sweet Child O' Mine,Guns N' Roses,Geffen Records
Perfect World,Huey Lewis and The News,Chrysalis
Electric Blue,Icehouse,Chrysalis
What's On Your Mind,Information Society,Tommy Boy
Never Tear Us Apart,INXS,Mercury
Devil Inside,INXS,Atlantic
Need You Tonight,INXS,WEA
New Sensation,INXS,WEA
Make It Real,Jets,MCA Records
Rocket 2 U,Jets,MCA Records
I Hate Myself For Loving You,Joan Jett and The Blackhearts,London Records
Don't You Want Me,Jody Watley,MCA Records
Shattered Dreams,Johnny Hates Jazz,Virgin Records America, Inc.
I Want Her,Keith Sweat,Elektra
The Loco-Motion,Kylie Minogue,PWL Records
Man In The Mirror,Michael Jackson,Epic
Dirty Diana,Michael Jackson,Discos CBS
Pink Cadillac,Natalie Cole,EMI-Manhattan Records
If It Isn't Love,New Edition,MCA RECORDS
Don't Shed A Tear,Paul Carrack,Chrysalis
Girlfriend,Pebbles,MCA Records
Mercedes Boy,Pebbles,MCA Records
Always On My Mind,Pet Shop Boys,EMI-Manhattan Records
What Have I Done To Deserve This?,Pet Shop Boys and Dusty Springfield,?
One Good Woman,Peter Cetera,Warner Bros. Records
A Groovy Kind Of Love,Phil Collins,Atlantic
Nothin' But A Good Time,Poison,Enigma Records
Catch Me (I'm Falling),Pretty Poison,Virgin
Hold On To The Nights,Richard Marx,Picture Music International
Should've Known Better,Richard Marx,EMI-Manhattan Records
Endless Summer Nights,Richard Marx,EMI-Manhattan Records
Together Forever,Rick Astley,RCA Victor
Never Gonna Give You Up,Rick Astley,RCA
Simply Irresistible,Robert Palmer,EMI
I Want To Be Your Man,Roger,Reprise Records
Naughty Girls (Need Love Too),Samantha Fox,Jive
Don't You Know What The Night Can Do,Steve Winwood,Virgin
Valerie,Steve Winwood,Island Records
Roll With It,Steve Winwood,Virgin
We'll Be Together,Sting,A&M Records
I'll Always Love You,Taylor Dayne,Arista
Prove Your Love,Taylor Dayne,Arista
Tell It To My Heart,Taylor Dayne,Arista
Wishing Well,Terence Trent d'Arby,?
Sign Your Name,Terence Trent d'Arby,?
Could've Been,Tiffany,MCA Records
Fast Car,Tracy Chapman,Elektra
Desire,U2,?
Red Red Wine,UB40,?
When It's Love,Van Halen,Not On Label (Van Halen)
Wait,White Lion,Victor
Is This Love,Whitesnake,EMI
Where Do Broken Hearts Go,Whitney Houston,Arista
One Moment In Time,Whitney Houston,Arista
So Emotional,Whitney Houston,Arista
Love In An Elevator,Aerosmith,Geffen Records
Poison,Alice Cooper,Epic
Giving You The Best That I Got,Anita Baker,Elektra
Surrender To Me,Ann Wilson and Robin Zander,?
Love Shack,B-52's,?
It's No Crime,Babyface,Solar
When I See You Smile,Bad English,Epic
Eternal Flame,Bangles,Sony Music
In Your Room,Bangles,Columbia
Wind Beneath My Wings,Bette Midler,Atlantic
On Our Own,Bobby Brown,MCA Records
My Prerogative,Bobby Brown,MCA Records
Roni,Bobby Brown,MCA Records
Rock Wit'cha,Bobby Brown,MCA Records
I'll Be There For You,Bon Jovi,Vertigo
Lay Your Hands On Me,Bon Jovi,Vertigo
Born To Be My Baby,Bon Jovi,Vertigo
Waiting For A Star To Fall,Boy Meets Girl,RCA
How Can I Fall?,Breathe,Siren
If I Could Turn Back Time,Cher,Geffen Records
After All,Cher and Peter Cetera,?
Look Away,Chicago,Reprise Records
Love Song,Cure,Not On Label (The Cure)
Lost In Your Eyes,Debbie Gibson,Atlantic
Armageddon It,Def Leppard,Polygram
I Like It,Dino,Island Records
The End Of The Innocence,Don Henley,Geffen Records
This Time I Know It's For Real,Donna Summer,Atlantic
Soldier Of Love,Donny Osmond,Virgin
I Don't Want Your Love,Duran Duran,EMI
Walk On Water,Eddie Money,Columbia
What I Am,Edie Brickell and The New Bohemians,?
What You Don't Know,Expose,?
Good Thing,Fine Young Cannibals,I.R.S. Records
She Drives Me Crazy,Fine Young Cannibals,I.R.S. Records
Don't Wanna Lose You,Gloria Estefan,Epic
"Once Bitten, Twice Shy",Great White,Capitol Records
Patience,Guns N' Roses,Underground Records
Welcome To The Jungle,Guns N' Roses,On Stage Records
Paradise City,Guns N' Roses,Geffen Records
Miss You Much,Janet Jackson,A&M Records
Angel Eyes,Jeff Healey Band,Arista
Real Love,Jody Watley,MCA Records
The Way You Love Me,Karyn White,Warner Bros. Records
Close My Eyes Forever,Lita Ford,RCA
So Alive,Love and Rockets,Vertigo
Like A Prayer,Madonna,Sire
Express Yourself,Madonna,Warner Bros. Records
Cherish,Madonna,Warner Bros. Records
Rock On,Michael Damian,Cypress Records
Smooth Criminal,Michael Jackson,Epic
The Living Years,Mike and The Mechanics,WEA
Girl You Know It's True,Milli Vanilli,RCA Limited Australia and New Zealand
Blame It On The Rain,Milli Vanilli,Hansa
Baby Don't Forget My Number,Milli Vanilli,Hansa
Girl I'm Gonna Miss You,Milli Vanilli,Chrysalis
Miss You Like Crazy,Natalie Cole,EMI USA
Buffalo Stance,Neneh Cherry,Circa
I'll Be Loving You (Forever),New Kids On The Block,CBS
Hangin' Tough,New Kids On The Block,Columbia
You Got It (The Right Stuff),New Kids On The Block,CBS
Cover Girl,New Kids On The Block,CBS
Cold Hearted,Paula Abdul,Virgin Japan
Straight Up,Paula Abdul,Virgin
Two Hearts,Phil Collins,Virgin
Every Rose Has Its Thorn,Poison,Capitol Records
Batdance,Prince,Warner Bros. Records
Stand,R.E.M.,?
Right Here Waiting,Richard Marx,EMI USA
Satisfied,Richard Marx,EMI
She Wants To Dance With Me,Rick Astley,RCA
My Heart Can't Tell You No,Rod Stewart,Warner Bros. Records
Listen To Your Heart,Roxette,EMI
The Look,Roxette,EMI
The Lover In Me,Sheena Easton,MCA Records
When I'm With You,Sheriff,Capitol Records
18 And Life,Skid Row,Atlantic
Keep On Movin',Soul II Soul,Virgin
Shower Me With Your Love,Surface,Columbia
Don't Rush Me,Taylor Dayne,Arista
Sowing The Seeds Of Love,Tears For Fears,Fontana
All This Time,Tiffany,MCA Records
Wild Thing,Tone Loc,Delicious Vinyl
Funky Cold Medina,Tone Loc,Island Records
Dreamin',Vanessa Williams,Wing Records
Heaven,Warrant,CBS
When The Children Cry,White Lion,Atlantic
"Baby, I Love Your Way-Freebird",Will To Power,Epic
Bust A Move,Young M.C.,?
Janie's Got A Gun,Aerosmith,Geffen Records
What It Takes,Aerosmith,Geffen Records
Ready Or Not,After 7,Virgin
Can't Stop,After 7,Virgin
Black Velvet,Alannah Myles,Linus Entertainment
Roam,B-52's,?
Whip Appeal,Babyface,Solar
Price Of Love,Bad English,Epic
Do Me!,Bell Biv Devoe,MCA Records
Poison,Bell Biv Devoe,House Party
Cradle Of Love,Billy Idol,Chrysalis
I Go To Extremes,Billy Joel,CBS
We Didn't Start The Fire,Billy Joel,Columbia
Just A Friend,Biz Markie,Cold Chillin'
Everybody Everybody,Black Box,Deconstruction
I Wanna Be Rich,Calloway,Zafiro
Just Like Jesse James,Cher,Geffen Records
What Kind Of Man Would I Be?,Chicago,Reprise Records
We Can't Go Wrong,Cover Girls,Capitol Records
Enjoy The Silence,Depeche Mode,Reprise Records
The Humpty Dance,Digital Underground,Eurobond Records
Romeo,Dino,Island Records
Hold On,En Vogue,Atlantic
Epic,Faith No More,PolyGram
Praying For Time,George Michael,Epic
Here We Are,Gloria Estefan,Epic
King Of Wishful Thinking,Go West,EMI USA
All I Wanna Do Is Make Love To You,Heart,Capitol Records
I Don't Have The Heart,James Ingram,Warner Bros. Records
Don't Wanna Fall In Love,Jane Child,Warner Bros. Records
Come Back To Me,Janet Jackson,A&M Records
Alright,Janet Jackson,A&M Records
Black Cat,Janet Jackson,A&M Records
Escapade,Janet Jackson,A&M Records
Rhythm Nation,Janet Jackson,Breakout
Everything,Jody Watley,MCA Records
Rub You The Right Way,Johnny Gill,Motown
Blaze Of Glory,Jon Bon Jovi,Popron
Make You Sweat,Keith Sweat,WEA
Forever,Kiss,Mercury/Polygram
Tic-Tac-Toe,Kyper,Atlantic
Don't Know Much,Linda Ronstadt and Aaron Neville,?
Sending All My Love,Linear,Atlantic
All Around The World,Lisa Stansfield,BMG UK & Ireland
Just Between You And Me,Lou Gramm,Atlantic
Here And Now,Luther Vandross,Epic
Have You Seen Her,M.C. Hammer,?
U Can't Touch This,M.C. Hammer,?
Vogue,Madonna,Sire
Love Takes Time,Mariah Carey,CBS
Vision Of Love,Mariah Carey,P:
Close To You,Maxi Priest,10 Records
Mentirosa,Mellow Man Ace,Capitol Records
When I'm Back On My Feet Again,Michael Bolton,Columbia
How Am I Supposed To Live Without You,Michael Bolton,CBS
How Can We Be Lovers,Michael Bolton,Columbia
No More Lies,Michel'le,?
All Or Nothing,Milli Vanilli,Carrere
Without You,Motley Crue,?
(Can't Live Without Your) Love And Affection,Nelson,DGC
This One's For The Children,New Kids On The Block,CBS
Step By Step,New Kids On The Block,ZKP RTVL
Oh Girl,Paul Young,Columbia
(It's Just) The Way That You Love Me,Paula Abdul,Virgin
Opposites Attract,Paula Abdul,Virgin
Giving You The Benefit,Pebbles,WEA Music K.K.
I Wish It Would Rain Down,Phil Collins,Virgin
Another Day In Paradise,Phil Collins,Atlantic
Do You Remember,Phil Collins,WEA
Something Happened On The Way To Heaven,Phil Collins,Atlantic
Unskinny Bop,Poison,Capitol Records
Thieves In The Temple,Prince,Paisley Park
Downtown Train,Rod Stewart,Warner Bros. Records
It Must Have Been Love,Roxette,Parlophone
Dangerous,Roxette,EMI
Two To Make It Right,Seduction,Vendetta Records
Nothing Compares 2 U,Sinead O'Connor,?
I Remember You,Skid Row,Atlantic
The Power,Snap,?
Back to Life (However Do You Want Me),Soul II Soul,10 Records
If Wishes Came True,Sweet Sensation,ATCO Records
Love Will Lead You Back,Taylor Dayne,Arista
I'll Be Your Shelter,Taylor Dayne,Arista
With Every Beat Of My Heart,Taylor Dayne,Arista
Get Up! (Before The Night Is Over),Technotronic,Alfa International
Pump Up The Jam,Technotronic,Max Music
Love Song,Tesla,Geffen Records
Jerk Out,Time,Paisley Park
Free Fallin',Tom Petty,MCA Records
I'll Be Your Everything,Tommy Page,Sire
Ice Ice Baby,Vanilla Ice,SBK Records
Release Me,Wilson Phillips,SBK Records
Hold On,Wilson Phillips,SBK Records
Everybody Plays The Fool,Aaron Neville,Collectables
"Baby, Baby",Amy Grant,A&M Records
Every Heartbeat,Amy Grant,A&M Records
Iesha,Another Bad Creation,Motown
From A Distance,Bette Midler,Atlantic
Strike It Up,Black Box,RCA
Something To Talk About,Bonnie Raitt,Capitol Records
Motownphilly,Boyz II Men,Motown
(Everything I Do) I Do It For You,Bryan Adams,A&M Records
Can't Stop This Thing We Started,Bryan Adams,A&M Records
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,CBS
Here We Go,C+C Music Factory,Columbia
Things That Make You Go Hmmmm...,C+C Music Factory,Not On Label
Touch Me (All Night Long),Cathy Dennis,Polydor
Too Many Walls,Cathy Dennis,Polydor
Just Another Dream,Cathy Dennis,Polydor
Where Does My Heart Beat Now,Celine Dion,?
The One And Only,Chesney Hawkes,Chrysalis
I Wanna Sex You Up,Color Me Badd,Giant Records
I Adore Mi Amor,Color Me Badd,Giant Records
Temptation,Corina,ATCO Records
Summertime,D.J. Jazzy Jeff and The Fresh Prince,?
High Enough,Damn Yankees,Works Editora
Groove Is In The Heart,Deee-Lite,?
I Touch Myself,Divinyls,Virgin
Unbelievable,EMF,EMI USA
I'll Be There,Escape Club,WEA International Inc.
More Than Words,Extreme,A&M Records
Hole Hearted,Extreme,A&M Records
Love Of A Lifetime,Firehouse,Epic
Freedom 90,George Michael,CBS
Rico Suave,Gerardo,EastWest Records America
Coming Out Of The Dark,Gloria Estefan,SMV Enterprises
Now That We Found Love,Heavy D. and The Boyz,?
I Can't Wait Another Minute,Hi-Five,?
I Like The Way (The Kissing Game),Hi-Five,?
Disappear,INXS,Mercury
Love Will Never Do (Without You),Janet Jackson,A&M Records
Real Real Real,Jesus Jones,SBK Records
"Right Here, Right Now",Jesus Jones,SBK Records
Romantic,Karyn White,Warner Bros. Records
I'll Give All My Love To You,Keith Sweat,Elektra
3 A.M. Eternal,KLF,DJ:
It Ain't Over 'Til It's Over,Lenny Kravitz,Virgin America
Around The Way Girl,LL Cool J,CBS
I've Been Thinking About You,Londonbeat,Anxious Records
Power Of Love (Love Power),Luther Vandross,Epic
Justify My Love,Madonna,Sire Records Company
I Don't Wanna Cry,Mariah Carey,Columbia
Someday,Mariah Carey,CBS
Emotions,Mariah Carey,Columbia
"Time, Love And Tenderness",Michael Bolton,Columbia
Love Is A Wonderful Thing,Michael Bolton,Columbia
Place In This World,Michael W. Smith,?
Unforgettable,Natalie Cole,Elektra
O.P.P.,Naughty By Nature,Big Life
Get Here,Oleta Adams,Fontana
Rush Rush,Paula Abdul,Virgin
The Promise Of A New Day,Paula Abdul,Virgin
Something To Believe In,Poison,Capitol Records
Silent Lucidity,Queensryche,?
Losing My Religion,R.E.M.,?
Shiny Happy People,R.E.M.,?
Sensitivity,Ralph Tresvant,MCA Records
Cry For Help,Rick Astley,RCA
Rhythm Of My Heart,Rod Stewart,Warner Bros. Records
The Motown Song,Rod Stewart,WEA
Fading Like A Flower (Every Time You Leave),Roxette,EMI
Joyride,Roxette,EMI
Do You Want Me,Salt-N-Pepa,FFRR
Wind Of Change,Scorpions,Leopard
Crazy,Seal,Warner Bros. Records
Because I Love You (The Postman Song),Stevie B,BCM Records
All This Time,Sting,A&M Records
Show Me The Way,Styx,A&M Records
The First Time,Surface,Columbia
Hold You Tight,Tara Kemp,Giant Records
Piece Of My Heart,Tara Kemp,Giant Records
Signs,Tesla,Geffen Records
Round And Round,Tevin Campbell,Warner Bros. Records
One More Try,Timmy T,Quality Records
This House,Tracie Spencer,Capitol Records
Here I Am (Come And Take Me),UB40,?
The Way You Do The Things You Do,UB40,?
Play That Funky Music,Vanilla Ice,SBK Records
I Saw Red,Warrant,Columbia
All The Man That I Need,Whitney Houston,Arista
I'm Your Baby Tonight,Whitney Houston,Arista
I'm Not In Love,Will To Power,Epic
You're In Love,Wilson Phillips,SBK Records
Impulsive,Wilson Phillips,SBK Records
Miles Away,Winger,Atlantic
That's What Love Is For,Amy Grant,A&M Records
I Will Remember You,Amy Grant,A&M Records
Good For Me,Amy Grant,A&M Records
Tennessee,Arrested Development,Cooltempo
People Everyday,Arrested Development,Cooltempo
Masterpiece,Atlantic Starr,Reprise Records
Achy Breaky Heart,Billy Ray Cyrus,Mercury
Humpin' Around,Bobby Brown,MCA Records
I Can't Make You Love Me,Bonnie Raitt,Capitol Records
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,Motown
End Of The Road,Boyz II Men,Motown
Uhh Ahh,Boyz II Men,Motown
Do I Have To Say The Words?,Bryan Adams,A&M Records
Thought I'd Died And Gone To Heaven,Bryan Adams,A&M Records
Keep On Walkin',CeCe Peniston,?
We Got A Love Thang,CeCe Peniston,?
Finally,CeCe Peniston,?
If You Asked Me To,Celine Dion,?
Beauty and the Beast,Celine Dion & Peabo Bryson,?
Would I Lie To You?,Charles and Eddie,Capitol Records
Thinkin' Back,Color Me Badd,Giant Records
All 4 Love,Color Me Badd,Giant Records
Slow Motion,Color Me Badd,Giant Records
Wishing On A Star,Cover Girls,Epic
Friday I'm In Love,Cure,Fiction Records
They Want EFX,Das EFX,EastWest Records America
Let's Get Rocked,Def Leppard,Mercury
The One,Elton John,The Rocket Record Company
My Lovin' (You're Never Gonna Get It),En Vogue,EastWest Records America
Giving Him Something He Can Feel,En Vogue,EastWest Records America
Free Your Mind,En Vogue,WEA
Tears In Heaven,Eric Clapton,On Stage
When I Look Into Your Eyes,Firehouse,Epic
Hold On My Heart,Genesis,Atlantic
I Can't Dance,Genesis,Virgin
Too Funky,George Michael,Epic
